Название светильника,"Цена, руб.",Ссылка на сайт
Подвесной светильник Снэки Brown,2830,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-sneki-brown
Подвесной светильник Агато Black,10 490,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-agato-black
Подвесной светильник Агато Brown,10 490,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-agato-brown
Подвесной светильник Альта Black,6290,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-alta-black
Подвесной светильник Альта Gold,6290,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-alta-gold
Подвесной светильник Альта White,5250,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-alta-white
Подвесной светильник Вэлли Brown,7340,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-velli-brown
Подвесной светильник Вэлли Gray,7340,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-velli-gray
Подвесной светильник Вэлли Olive,7340,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-velli-olive
Подвесной светильник Дроп Beige,4190,https://www.divan.ru/chelyabinsk/product/podvesnoj-svetilnik-drop-beige
